Data,DataExcel,Regiao,Sistema,Classe,TipoConsumidor,Consumo,Consumidores,DataVersao
20250501,2025-05-01,Nordeste,NORTE INTERLIGADO,Industrial,Livre,685720.056,201,2025-07-21
20250501,2025-05-01,Nordeste,NORTE INTERLIGADO,Outros,Cativo,112076.998,40817,2025-07-21
20250501,2025-05-01,Nordeste,NORTE INTERLIGADO,Outros,Livre,1416.51,60,2025-07-21
20250501,2025-05-01,Nordeste,NORTE INTERLIGADO,Residencial,Cativo,430011.548,2588152,2025-07-21
20250501,2025-05-01,Nordeste,NORTE INTERLIGADO,Residencial,Livre,106.083,4,2025-07-21
20250501,2025-05-01,Nordeste,NORTE INTERLIGADO,Rural,Cativo,29383.77,117660,2025-07-21
20250501,2025-05-01,Nordeste,NORTE INTERLIGADO,Rural,Livre,2715.94,28,2025-07-21
20250501,2025-05-01,Nordeste,SISTEMAS ISOLADOS,Comercial,Cativo,1162.758,285,2025-07-21
20250501,2025-05-01,Nordeste,SISTEMAS ISOLADOS,Industrial,Cativo,23.972,4,2025-07-21
20250501,2025-05-01,Nordeste,SISTEMAS ISOLADOS,Outros,Cativo,489.985,115,2025-07-21
20250501,2025-05-01,Nordeste,SISTEMAS ISOLADOS,Residencial,Cativo,1082.885,816,2025-07-21
20250501,2025-05-01,Nordeste,SISTEMAS ISOLADOS,Rural,Cativo,7.617,6,2025-07-21
20250501,2025-05-01,Norte,NORTE INTERLIGADO,Comercial,Cativo,250256.017,261643,2025-07-21
20250501,2025-05-01,Norte,NORTE INTERLIGADO,Comercial,Livre,165243.932,1590,2025-07-21
20250501,2025-05-01,Norte,NORTE INTERLIGADO,Industrial,Cativo,41891.729,6996,2025-07-21
20250501,2025-05-01,Norte,NORTE INTERLIGADO,Industrial,Livre,1454958.277,879,2025-07-21
20250501,2025-05-01,Norte,NORTE INTERLIGADO,Outros,Cativo,228747.97399999996,41837,2025-07-21
20250501,2025-05-01,Norte,NORTE INTERLIGADO,Outros,Livre,32301.380999999994,270,2025-07-21
20250501,2025-05-01,Norte,NORTE INTERLIGADO,Residencial,Cativo,821455.2300000001,4078080,2025-07-21
20250501,2025-05-01,Norte,NORTE INTERLIGADO,Residencial,Livre,3.877,1,2025-07-21
20250501,2025-05-01,Norte,NORTE INTERLIGADO,Rural,Cativo,48694.509000000005,229969,2025-07-21
20250501,2025-05-01,Norte,NORTE INTERLIGADO,Rural,Livre,5999.0650000000005,81,2025-07-21
20250501,2025-05-01,Norte,SISTEMAS ISOLADOS,Comercial,Cativo,41701.56,42470,2025-07-21
20250501,2025-05-01,Norte,SISTEMAS ISOLADOS,Industrial,Cativo,6050.557000000001,648,2025-07-21
20250501,2025-05-01,Norte,SISTEMAS ISOLADOS,Industrial,Livre,4400.163,1,2025-07-21
20250501,2025-05-01,Norte,SISTEMAS ISOLADOS,Outros,Cativo,42525.718,13247,2025-07-21
20250501,2025-05-01,Norte,SISTEMAS ISOLADOS,Residencial,Cativo,128324.432,575884,2025-07-21
20250501,2025-05-01,Norte,SISTEMAS ISOLADOS,Rural,Cativo,7054.745,34856,2025-07-21
20250501,2025-05-01,Norte,SUDESTE / CENTRO - OESTE,Comercial,Cativo,64434.235,68730,2025-07-21
20250501,2025-05-01,Norte,SUDESTE / CENTRO - OESTE,Comercial,Livre,27078.17,354,2025-07-21
20250501,2025-05-01,Norte,SUDESTE / CENTRO - OESTE,Industrial,Cativo,12308.360999999999,2655,2025-07-21
20250501,2025-05-01,Norte,SUDESTE / CENTRO - OESTE,Industrial,Livre,39419.871,118,2025-07-21
20250501,2025-05-01,Norte,SUDESTE / CENTRO - OESTE,Outros,Cativo,55223.66099999999,9705,2025-07-21
20250501,2025-05-01,Norte,SUDESTE / CENTRO - OESTE,Outros,Livre,2354.052,11,2025-07-21
20250501,2025-05-01,Norte,SUDESTE / CENTRO - OESTE,Residencial,Cativo,220817.103,810165,2025-07-21
20250501,2025-05-01,Norte,SUDESTE / CENTRO - OESTE,Rural,Cativo,36222.983,126745,2025-07-21
20250501,2025-05-01,Norte,SUDESTE / CENTRO - OESTE,Rural,Livre,101.59299999999999,5,2025-07-21
20250501,2025-05-01,Sudeste,SUDESTE / CENTRO - OESTE,Comercial,Cativo,2269105.069,2742833,2025-07-21
20250501,2025-05-01,Sudeste,SUDESTE / CENTRO - OESTE,Comercial,Livre,2114724.533,23551,2025-07-21
20250501,2025-05-01,Sudeste,SUDESTE / CENTRO - OESTE,Industrial,Cativo,407474.126,129754,2025-07-21
20250501,2025-05-01,Sudeste,SUDESTE / CENTRO - OESTE,Industrial,Livre,8043624.699999999,13112,2025-07-21
20250501,2025-05-01,Sudeste,SUDESTE / CENTRO - OESTE,Outros,Cativo,1290810.236,303442,2025-07-21
20250501,2025-05-01,Sudeste,SUDESTE / CENTRO - OESTE,Outros,Livre,588616.9570000002,1569,2025-07-21
20250501,2025-05-01,Sudeste,SUDESTE / CENTRO - OESTE,Residencial,Cativo,6512665.536,36842754,2025-07-21
20250501,2025-05-01,Sudeste,SUDESTE / CENTRO - OESTE,Residencial,Livre,1424.7269999999999,50,2025-07-21
20250501,2025-05-01,Sudeste,SUDESTE / CENTRO - OESTE,Rural,Cativo,620827.4389999999,984640,2025-07-21
20250501,2025-05-01,Sudeste,SUDESTE / CENTRO - OESTE,Rural,Livre,121592.979,748,2025-07-21
20250501,2025-05-01,Sul,SUL,Comercial,Cativo,884584.1749999999,1151119,2025-07-21
20250501,2025-05-01,Sul,SUL,Comercial,Livre,593848.3259999999,7819,2025-07-21
20250501,2025-05-01,Sul,SUL,Industrial,Cativo,323371.529,227376,2025-07-21
20250501,2025-05-01,Sul,SUL,Industrial,Livre,2978793.9960000003,7265,2025-07-21
20250501,2025-05-01,Sul,SUL,Outros,Cativo,437295.27499999997,133030,2025-07-21
20250501,2025-05-01,Sul,SUL,Outros,Livre,126262.957,1382,2025-07-21
20250501,2025-05-01,Sul,SUL,Residencial,Cativo,2242042.4440000006,11759858,2025-07-21
20250501,2025-05-01,Sul,SUL,Residencial,Livre,379.199,7,2025-07-21
20250501,2025-05-01,Sul,SUL,Rural,Cativo,485493.764,848224,2025-07-21
20250501,2025-05-01,Sul,SUL,Rural,Livre,346554.962,536,2025-07-21
20250401,2025-04-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Comercial,Cativo,434778.902,496786,2025-07-21
20250401,2025-04-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Comercial,Livre,276095.655,3280,2025-07-21
20250401,2025-04-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Industrial,Cativo,68985.728,30049,2025-07-21
20250401,2025-04-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Industrial,Livre,905834.9550000001,1252,2025-07-21
20250401,2025-04-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Outros,Cativo,350349.828,64271,2025-07-21
20250401,2025-04-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Outros,Livre,57848.061,547,2025-07-21
20250401,2025-04-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Residencial,Cativo,1403909.991,6515725,2025-07-21
20250401,2025-04-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Residencial,Livre,130.0,10,2025-07-21
20250401,2025-04-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Rural,Cativo,328561.991,500157,2025-07-21
20250401,2025-04-01,Centro-Oeste,SUDESTE / CENTRO - OESTE,Rural,Livre,25918.246000000003,290,2025-07-21
20250401,2025-04-01,Nordeste,NORDESTE,Comercial,Cativo,664500.068,1292894,2025-07-21
20250401,2025-04-01,Nordeste,NORDESTE,Comercial,Livre,559724.5789999999,6481,2025-07-21
20250401,2025-04-01,Nordeste,NORDESTE,Industrial,Cativo,90284.64799999999,32291,2025-07-21
20250401,2025-04-01,Nordeste,NORDESTE,Industrial,Livre,1705478.574,2538,2025-07-21
20250401,2025-04-01,Nordeste,NORDESTE,Outros,Cativo,737655.1860000002,266529,2025-07-21
20250401,2025-04-01,Nordeste,NORDESTE,Outros,Livre,215581.808,1064,2025-07-21
20250401,2025-04-01,Nordeste,NORDESTE,Residencial,Cativo,2675646.372,20271943,2025-07-21
20250401,2025-04-01,Nordeste,NORDESTE,Residencial,Livre,67.065,3,2025-07-21
