Soma de Consumo,DataExcel,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
UF,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,Total Geral
MA,987379.2609999999,965941.896,1063504.138,1055290.096,1127294.174,1090847.688,1124683.0979999998,1151226.5809999998,1146620.906,1213725.3699999999,1212542.9570000002,1239091.4980000001,1207981.585,1138460.1840000001,1136387.634,1133661.448,1215818.8679999998,1239586.181,1239677.118,1274786.334,1308716.449,1355064.7349999999,1389585.7089999998,1352833.21,1296920.3630000001,1218536.754,1276307.1660000002,1312810.999,1384772.2710000002,34860054.671000004
MG,5095531.929,4927133.356,5619862.411000001,5326562.350000001,5443073.173,5270435.2639999995,5280897.768,5438757.176,5297051.786999999,5751116.308,5693792.487,5634876.132,5545890.519,5260005.387,5665542.965,5638844.07,5652577.192,5604390.684,5694551.065999999,5727643.657,5691257.131999998,5958147.019000001,5463519.056999999,5644098.394,5576110.711,5339797.644,5946602.534,5608354.930000001,5576982.5479999995,160373405.65
MS,538858.329,539954.979,550703.646,569035.624,498913.714,458862.11000000004,452296.138,513420.42299999995,539191.576,602605.806,589264.148,590317.625,601144.0090000001,601134.962,631103.1599999999,626833.681,602592.09,538600.383,551330.494,560659.4029999999,548826.401,601885.042,589623.49,612664.1300000001,595393.042,629392.684,633425.304,597367.539,546287.119,16511687.051000003
MT,750657.865,760977.25,850259.55,819745.0270000001,836889.356,822027.0489999999,804536.2849999999,929616.387,988707.1909999999,1001325.1190000001,1028469.171,980062.9820000001,894993.3580000001,877192.1719999999,938563.2949999999,920272.049,927730.54,844334.975,882541.2019999999,936424.678,985363.5929999999,1106858.208,1007852.3130000001,907763.303,883177.021,887593.755,930061.96,930600.559,958329.164,26392925.377000004
PA,1881712.1509999996,1735760.098,1931139.9759999998,1850068.2110000001,1939343.998,1941066.641,1962737.993,2005327.7749999997,2040867.768,2079602.743,1991410.7419999999,2014085.7710000002,1951718.3609999996,1828996.3599999996,1920254.726,1891449.5069999998,2022279.9270000001,2040056.8610000003,2107875.967,2146683.7169999997,2128191.4140000003,2133683.7360000005,2143430.4520000005,2178305.8109999998,2102554.9189999993,1892939.3420000002,1997898.415,2072616.817,2103211.909,58035272.107999995
PB,505875.26499999996,496568.27600000007,501072.10900000005,501358.132,523851.711,466286.766,450153.705,473222.23000000004,494604.67499999993,512081.61299999995,535821.354,527996.0810000001,546610.413,534228.968,543258.141,564788.7380000001,553484.8729999999,519179.324,510096.57,511261.9469999999,506194.31799999997,550471.432,545977.426,579827.1399999999,582603.794,550485.461,561491.299,558566.143,584841.7869999999,15292259.691000002
PE,1272936.883,1253957.989,1332269.5690000001,1266303.709,1310176.82,1222881.47,1189652.99,1209125.533,1255276.107,1280823.367,1338451.09,1348210.779,1322746.716,1312687.501,1366703.561,1371987.716,1357944.739,1305674.346,1230629.262,1265292.23,1275192.347,1270152.789,1351540.475,1391177.826,1288423.653,1282369.3029999998,1300594.8160000003,1307131.626,1341068.8530000004,37621384.06500001
PI,319594.605,301811.20099999994,329596.70499999996,326845.46400000004,347068.321,352751.845,356327.7739999999,377723.74,418672.38200000004,420710.092,416278.624,399090.98600000003,377330.565,354119.45200000005,357878.361,363188.96,386308.12799999997,393224.05199999997,376578.56899999996,387287.1159999999,416967.131,430611.794,444419.776,426785.1819999999,394181,363352,365623,383885,410201,10998412.825
PR,3051127.678,3031414.447,3160725.019,3138879.246,2987537.933,2879631.224,2929545.921,3016596.167,3023561.6380000003,3165055.443,3160006.875,3207775.958,3362747.276,3320478.728,3460938.7830000003,3402606.3269999996,3332554.583,3165773.575,3170534.6110000005,3213933.7639999995,3203619.509,3346729.2819999997,3379205.0540000005,3294463.883,3393396.645,3537244.1840000004,3695064.59,3384173.4189999998,3246306.6459999997,93661628.408
RJ,2881257.573,3323581.7219999996,3563778.3009999995,3314886.67,3028977.43,2931453.557,2847895.8649999998,2973071.6890000002,3032292.147,3109691.015,3204062.517,3290295.145,3471032.729,3434559.353,3573075.08,3447798.238,3439945.9429999995,3174054.0880000005,3044350.362,3032069.089,3092392.069,3273920.639,3170106.493,3134605.6359999995,3436496.771,3621624.9740000004,3703449.52,3311245.325,3100289.356,93962259.296
